symbol,timeframe,in_date,entry_close,latest_date,latest_close
0050,2 Weeks,2023-07-21,30.5,2026-05-20,92.5
0051,8 Days,2025-11-19,88.45,2026-05-20,128.2
0053,2 Weeks,2025-09-19,124.4,2026-05-20,212.25
0055,2 Weeks,2014-03-14,9.28,2026-05-20,33.97
0056,2 Weeks,2026-04-24,40.95,2026-05-20,44.04
0057,2 Weeks,2023-07-28,96.35,2026-05-20,274.65
006201,1 Months,2023-05-31,17.26,2025-06-30,20.07
006204,2 Weeks,2025-11-07,138.5,2026-05-20,200.5
006205,8 Days,2025-08-25,36.02,2026-05-20,41.32
006206,8 Days,2025-10-01,34.53,2026-05-20,37.01
006207,2 Weeks,2025-09-19,28.03,2026-05-20,33.18
00635U,3 Days,2024-05-23,28.12,2026-05-20,46.86
00639,2 Weeks,2025-08-29,13.71,2026-05-20,17.56
00642U,3 Days,2025-11-13,17.48,2026-05-20,32.79
00645,2 Weeks,2022-09-23,25.12,2026-05-20,53.15
00646,2 Weeks,2026-05-15,73.95,2026-05-20,73.2
